,count,wins,winsPerRace,meanOdds,oddsTotal
Mats Gällerstedt,186,25,0.13440860215053763,15.274193548387096,2841
Mathias Andersson,186,11,0.05913978494623656,32.91935483870968,6123
Christian Månsson,185,15,0.08108108108108109,25.751351351351353,4764
Steen Juul,185,33,0.1783783783783784,15.205405405405406,2813
Jonny Länsimäki,185,15,0.08108108108108109,20.35135135135135,3765
Angelica Klockar,185,15,0.08108108108108109,26.345945945945946,4874
Lars-Göran Söderberg,185,15,0.08108108108108109,23.345945945945946,4319
Jere Taulio,185,33,0.1783783783783784,12.248648648648649,2266
Troels Andersen,184,31,0.16847826086956522,14.646739130434783,2695
Maria Törnqvist,184,23,0.125,16.46195652173913,3029
Fredrik Palm,184,13,0.07065217391304347,23.222826086956523,4273
Alessandro Gocciadoro,184,48,0.2608695652173913,7.456521739130435,1372
Minttu Mäkinen,183,10,0.0546448087431694,26.459016393442624,4842
Johanna Sianoja,183,15,0.08196721311475409,28.60655737704918,5235
Tommy Strandqvist,182,13,0.07142857142857142,37.637362637362635,6850
Ari Viander,182,20,0.10989010989010989,24.34065934065934,4430
Jeroen van Craen,182,12,0.06593406593406594,26.945054945054945,4904
Paula Tuomela,182,3,0.016483516483516484,62.104395604395606,11303
Kaisa Tupamäki-Kukkamo,181,15,0.08287292817679558,20.132596685082873,3644
Jesper Hedqvist,181,17,0.09392265193370165,35.392265193370164,6406
Jouko Tarvainen,181,23,0.1270718232044199,17.044198895027623,3085
Bo Falsig,181,24,0.13259668508287292,16.408839779005525,2970
Jens Eriksson,180,16,0.08888888888888889,29.016666666666666,5223
Daniel Wäjersten,179,48,0.2681564245810056,9.1731843575419,1642
Martti Hämäläinen,177,19,0.10734463276836158,22.89265536723164,4052
Jyrki Filatoff,176,14,0.07954545454545454,29.880681818181817,5259
Henrik Eriksson,176,10,0.056818181818181816,28.011363636363637,4930
Mira Lehto,176,4,0.022727272727272728,44.625,7854
Thomas Madsen,175,21,0.12,16.12,2821
Björn Karlsson,175,35,0.2,13.651428571428571,2389
Börje Brandel,175,20,0.11428571428571428,29.01142857142857,5077
Madelene Wikstén,175,18,0.10285714285714286,29.142857142857142,5100
Riina Rekilä,175,26,0.14857142857142858,15.862857142857143,2776
Bo Hellkvist,174,12,0.06896551724137931,38.53448275862069,6705
Erik Skutnabb,174,14,0.08045977011494253,32.3448275862069,5628
Terhi Vanhala,173,4,0.023121387283236993,39.861271676300575,6896
Petri Puro,173,53,0.3063583815028902,6.15606936416185,1065
Mikael Fellbrandt,173,20,0.11560693641618497,25.24277456647399,4367
Bo Örberg,172,3,0.01744186046511628,54.71511627906977,9411
Edvin Ceka,172,21,0.12209302325581395,15.674418604651162,2696
Marja Haakana,171,16,0.0935672514619883,24.485380116959064,4187
Matti Matinlauri,170,20,0.11764705882352941,22.01764705882353,3743
Dennis Palmqvist,170,21,0.12352941176470589,11.81764705882353,2009
Ulrika Wällstedt,169,23,0.13609467455621302,15.390532544378699,2601
Juho Ihamuotila,169,23,0.13609467455621302,18.62721893491124,3148
Paw Mahony,169,16,0.09467455621301775,17.49112426035503,2956
Jani Hartikainen,168,21,0.125,27.279761904761905,4583
Tobias Modig,167,5,0.029940119760479042,43.24550898203593,7222
Tony Wallin,167,10,0.059880239520958084,31.11377245508982,5196
Lars Järpedal,167,38,0.2275449101796407,13.766467065868264,2299
Jaakko Alamäki,167,15,0.08982035928143713,25.88622754491018,4323
Jan Roar Mjölneröd,166,28,0.1686746987951807,11.734939759036145,1948
Gabriella Laestander,164,11,0.06707317073170732,20.51829268292683,3365
Göran Jansson,163,8,0.049079754601226995,46.147239263803684,7522
Morgan Ivarsson,163,12,0.0736196319018405,28.073619631901842,4576
Hans Crebas,163,18,0.11042944785276074,21.41717791411043,3491
Anne Takapuro,163,10,0.06134969325153374,28.12269938650307,4584
Carlos Söderström,163,16,0.09815950920245399,29.47239263803681,4804
Mats Andersson,162,9,0.05555555555555555,44.75308641975309,7250
Håkan Danielsson,162,12,0.07407407407407407,40.111111111111114,6498
Pasi Väisänen,162,12,0.07407407407407407,13.993827160493828,2267
Jussi Suominen,161,20,0.12422360248447205,23.975155279503106,3860
Johan Sandström,161,5,0.031055900621118012,38.67701863354037,6227
Åsa Lindberg,160,16,0.1,34.76875,5563
Ingemar Söderberg,160,8,0.05,26.25,4200
Tomasz Wisniewski,159,24,0.1509433962264151,21.037735849056602,3345
Rikard N Skoglund,159,14,0.0880503144654088,13.40880503144654,2132
Iikka Nurmonen,158,37,0.23417721518987342,14.721518987341772,2326
Catarina Lundström,158,17,0.10759493670886076,30.20886075949367,4773
Antti Ripatti,158,10,0.06329113924050633,31.873417721518987,5036
Riccardo Bianchi,157,9,0.05732484076433121,35.210191082802545,5528
David Persson,157,25,0.1592356687898089,12.248407643312103,1923
Li Hanné,157,8,0.050955414012738856,37.6687898089172,5914
Angelica Herlin,156,9,0.057692307692307696,29.28205128205128,4568
Per Nordström,156,15,0.09615384615384616,26.333333333333332,4108
Jenny Eriksson,155,15,0.0967741935483871,27.92258064516129,4328
Anna-Karin Rundqvist,155,10,0.06451612903225806,26.10967741935484,4047
Petri Ripatti,155,6,0.03870967741935484,43.038709677419355,6671
Martti Pellikka,155,35,0.22580645161290322,16.419354838709676,2545
Jani Ruotsalainen,155,22,0.14193548387096774,17.135483870967743,2656
Catarina Norqvist,154,13,0.08441558441558442,31.805194805194805,4898
Matti Riipinen,154,11,0.07142857142857142,19.707792207792206,3035
Markus Pulkkinen,153,4,0.026143790849673203,33.56209150326797,5135
Jari Kinnunen,153,22,0.1437908496732026,16.627450980392158,2544
Janita Antti-Roiko,150,14,0.09333333333333334,29.866666666666667,4480
Amanda Löfqwist,149,11,0.0738255033557047,35.69798657718121,5319
Tina Lisell,149,17,0.11409395973154363,26.899328859060404,4008
Erica Sandström,149,11,0.0738255033557047,30.140939597315437,4491
Heli Kantonen-Heikkilä,148,6,0.04054054054054054,30.0,4440
Sanna Päivike,147,11,0.07482993197278912,27.333333333333332,4018
Helen Åkerlund,147,2,0.013605442176870748,60.156462585034014,8843
Anders Wallin,147,16,0.10884353741496598,26.6734693877551,3921
Ari-Pekka Pakkanen,146,33,0.22602739726027396,9.465753424657533,1382
Valde Lindgren,146,1,0.00684931506849315,74.15068493150685,10826
Veli Nurminen,146,13,0.08904109589041095,30.561643835616437,4462
Anna Niva,145,10,0.06896551724137931,44.88275862068966,6508
Ann-Chatrine Svensson,144,9,0.0625,20.90972222222222,3011
Jan E Johansson,144,3,0.020833333333333332,50.638888888888886,7292
Mats Rånlund,144,20,0.1388888888888889,15.930555555555555,2294
Linda S Hedström,144,10,0.06944444444444445,25.95138888888889,3737
Aimo Vuorisalo,144,13,0.09027777777777778,20.26388888888889,2918
Eija Sillanpää,143,7,0.04895104895104895,38.25874125874126,5471
Antti Isomaa,142,7,0.04929577464788732,29.45774647887324,4183
Jan-Åke Hoas,142,9,0.06338028169014084,36.16901408450704,5136
Stefan Johansson,142,20,0.14084507042253522,19.176056338028168,2723
Sören Lennartson,142,17,0.11971830985915492,16.169014084507044,2296
Lennart Svensson,142,10,0.07042253521126761,41.70422535211268,5922
Ingemar Hultqvist,142,32,0.22535211267605634,14.225352112676056,2020
Emma Väre,141,18,0.1276595744680851,17.574468085106382,2478
Elisabeth Sandin,141,9,0.06382978723404255,27.74468085106383,3912
Leo Mönttinen,141,27,0.19148936170212766,13.120567375886525,1850
Lars Erixon,141,4,0.028368794326241134,36.283687943262414,5116
Mika Mäkelä,141,14,0.09929078014184398,22.617021276595743,3189
Ismo Korhonen,140,8,0.05714285714285714,26.064285714285713,3649
Jesper R Nilsson,140,9,0.06428571428571428,27.492857142857144,3849
Kari Alapekkala,140,13,0.09285714285714286,17.185714285714287,2406
Pertti Taskinen,139,5,0.03597122302158273,38.935251798561154,5412
Jukka-Pekka Hukkanen,139,10,0.07194244604316546,29.223021582733814,4062
Bengt A Nilsson,139,9,0.06474820143884892,34.064748201438846,4735
Jyrki Tammimetsä,139,9,0.06474820143884892,23.971223021582734,3332
Kent Knutsson,138,11,0.07971014492753623,26.543478260869566,3663
Flemming Jensen,138,23,0.16666666666666666,8.36231884057971,1154
Torbjörn Maltesson,138,19,0.13768115942028986,32.47826086956522,4482
John Östman,137,9,0.06569343065693431,24.357664233576642,3337
Seppo Vaakanainen,137,7,0.051094890510948905,30.145985401459853,4130
Cina Lassen,137,1,0.0072992700729927005,78.91970802919708,10812
Kati Lindsberg,137,34,0.24817518248175183,7.474452554744525,1024
Magnus Träff,137,28,0.20437956204379562,9.81021897810219,1344
Juha-Pekka Saarinen,136,4,0.029411764705882353,44.30882352941177,6026
Robert Andersson,136,9,0.0661764705882353,43.705882352941174,5944
Vesa Jokiniemi,135,8,0.05925925925925926,29.28148148148148,3953
Johan Lejon,135,7,0.05185185185185185,28.94074074074074,3907
Björn Eriksson,135,3,0.022222222222222223,52.17777777777778,7044
Risto Väre,134,17,0.12686567164179105,15.932835820895523,2135
Åke Eriksson,133,17,0.12781954887218044,21.984962406015036,2924
Tommy Eriksson,132,5,0.03787878787878788,29.446969696969695,3887
Hannu Kamppuri,132,7,0.05303030303030303,62.03787878787879,8189
Svante Ericsson,132,11,0.08333333333333333,15.818181818181818,2088
Timo Niemelä,132,6,0.045454545454545456,38.77272727272727,5118
Håkan E Johansson,132,14,0.10606060606060606,48.38636363636363,6387
Therese Bjurman,132,19,0.14393939393939395,18.060606060606062,2384
Niclas Torstemo,132,11,0.08333333333333333,29.507575757575758,3895
Hannu Tikkala,132,4,0.030303030303030304,42.29545454545455,5583
Anssi Nurminen,130,9,0.06923076923076923,29.192307692307693,3795
Oscar Berglund,129,37,0.2868217054263566,4.744186046511628,612
Lars Wikström,129,14,0.10852713178294573,21.441860465116278,2766
Heikki Matias Koskela,129,16,0.12403100775193798,26.387596899224807,3404
Henrik Södervall,129,10,0.07751937984496124,24.790697674418606,3198
Joakim Eskilsson,129,9,0.06976744186046512,25.0,3225
Kjell-Ove Eriksson,129,3,0.023255813953488372,37.76744186046512,4872
Christian Riedl,129,6,0.046511627906976744,37.627906976744185,4854
Petra Björkman,128,4,0.03125,50.546875,6470
Jukka Kauppinen,128,25,0.1953125,19.96875,2556
Timo Hulkkonen,128,17,0.1328125,16.8828125,2161
Pasi Teini,128,13,0.1015625,42.8046875,5479
Juha Nurminen,127,3,0.023622047244094488,43.818897637795274,5565
Kaisa Toivonen,127,18,0.14173228346456693,22.58267716535433,2868
Ville Tonttila,125,14,0.112,25.816,3227
Jan Björkqvist,125,5,0.04,34.08,4260
Janaxel Näsman,125,7,0.056,36.92,4615
Alf Nordemo,125,4,0.032,44.896,5612
Billy Svedlund,125,8,0.064,38.08,4760
Rainer Björkroth,124,16,0.12903225806451613,24.491935483870968,3037
Henrik Johansson,124,16,0.12903225806451613,21.177419354838708,2626
Per Fromell,124,1,0.008064516129032258,36.21774193548387,4491
Frode Hamre,124,21,0.1693548387096774,14.064516129032258,1744
Jimmi Ehlers,123,11,0.08943089430894309,26.991869918699187,3320
Veli Vähäkuopus,123,4,0.032520325203252036,34.32520325203252,4222
Cathy Johansson,123,2,0.016260162601626018,45.170731707317074,5556
Jan Halberg,122,14,0.11475409836065574,44.22950819672131,5396
Jakob Croon,122,14,0.11475409836065574,28.15573770491803,3435
Kristofer Jansson,122,7,0.05737704918032787,32.40983606557377,3954
Per K Eriksson,122,12,0.09836065573770492,34.50819672131148,4210
Lars Marklund,122,5,0.040983606557377046,38.25409836065574,4667
Janne Svart,121,5,0.04132231404958678,32.3801652892562,3918
Stefan Axelsson,121,9,0.0743801652892562,32.917355371900825,3983
Ulf Arne Johansson,121,2,0.01652892561983471,51.735537190082646,6260
Jörgen Berglund,121,2,0.01652892561983471,36.231404958677686,4384
Kristina Larsson,120,5,0.041666666666666664,48.15,5778
Matti J. Mäkinen,120,15,0.125,18.333333333333332,2200
Stefan Dahl,120,11,0.09166666666666666,25.408333333333335,3049
Mauno Mäntylä,120,13,0.10833333333333334,21.933333333333334,2632
Ari Lappalainen,119,16,0.13445378151260504,18.361344537815125,2185
Henrik Hollsten,119,10,0.08403361344537816,23.764705882352942,2828
Tapani Salojensaari,119,5,0.04201680672268908,49.53781512605042,5895
Roger Malmqvist,118,10,0.0847457627118644,27.16949152542373,3206
Eva-Lena Hellman,118,2,0.01694915254237288,46.779661016949156,5520
Irene Svanhall,117,8,0.06837606837606838,49.23076923076923,5760
Per-Olof Svantesson,117,3,0.02564102564102564,61.87179487179487,7239
Fredrik Tengstad,117,17,0.1452991452991453,16.136752136752136,1888
Ilkka Hoffren,117,2,0.017094017094017096,45.69230769230769,5346
Jussi Hautanen,117,4,0.03418803418803419,45.77777777777778,5356
Karin Persson,117,0,0.0,65.37606837606837,7649
Görel Engström,116,10,0.08620689655172414,42.025862068965516,4875
Anneli Öberg,116,11,0.09482758620689655,28.198275862068964,3271
Lars D Carlson,116,13,0.11206896551724138,20.379310344827587,2364
Henry Ala-Korpi,116,3,0.02586206896551724,34.62068965517241,4016
