,count,wins,winsPerRace,meanOdds,oddsTotal
Kövras So Far* (SE),36,7,0.19444444444444445,15.027777777777779,541
Hope Of Nazareth,36,1,0.027777777777777776,25.916666666666668,933
Sokker,36,0,0.0,26.52777777777778,955
Crispi's Memory* (SE),36,0,0.0,68.94444444444444,2482
Luna De Paris,36,6,0.16666666666666666,12.777777777777779,460
Comte du Pommeau* (SE),36,1,0.027777777777777776,31.0,1116
Catahecassa Zest,36,2,0.05555555555555555,26.63888888888889,959
Digital Performer* (SE),36,4,0.1111111111111111,37.916666666666664,1365
Al E.Gador Zet (SE),36,8,0.2222222222222222,7.777777777777778,280
Viktor Barsk* (NO),36,4,0.1111111111111111,30.27777777777778,1090
Kuuraparta,36,5,0.1388888888888889,13.555555555555555,488
Quartam De Caelo,36,6,0.16666666666666666,24.36111111111111,877
K.A.Dacy* (SE),36,1,0.027777777777777776,65.69444444444444,2365
Quatre Star* (SE),36,3,0.08333333333333333,17.97222222222222,647
Aikapiika,36,0,0.0,47.916666666666664,1725
Ketchup Wurst,36,0,0.0,84.38888888888889,3038
Gene Touch,36,3,0.08333333333333333,24.75,891
Casper Frost,36,2,0.05555555555555555,22.61111111111111,814
William Pine,36,8,0.2222222222222222,12.194444444444445,439
Pearl Face* (SE),36,3,0.08333333333333333,23.055555555555557,830
Maccabi Yosef,36,3,0.08333333333333333,12.75,459
Heathcliff* (SE),36,1,0.027777777777777776,40.361111111111114,1453
Lady Charm* (SE),35,2,0.05714285714285714,23.685714285714287,829
Hot Beer,35,1,0.02857142857142857,33.05714285714286,1157
Teilor,35,1,0.02857142857142857,45.857142857142854,1605
Virin Veijari,35,6,0.17142857142857143,17.771428571428572,622
Top Of The World,35,4,0.11428571428571428,15.428571428571429,540
Voitto-Aatos,35,0,0.0,43.857142857142854,1535
Moeses* (SE),35,2,0.05714285714285714,37.22857142857143,1303
Spes Patriae,35,0,0.0,25.771428571428572,902
Mr Perfect* (SE),35,1,0.02857142857142857,29.82857142857143,1044
Double Boost,35,8,0.22857142857142856,10.057142857142857,352
Stella's Boy,35,0,0.0,23.285714285714285,815
Fire Spruce,35,3,0.08571428571428572,38.02857142857143,1331
