,count,wins,winsPerRace,meanOdds,oddsTotal
Mörtvedt Jerkeld* (NO),5,0,0.07569345129982094,78.6,393
Tamin Sandy,5,0,0.07531838532237212,31.8,159
Park Avenue Joe,4,0,0.07407239895232755,59.0,236
Eng Svarten,4,0,0.07634233605338164,15.75,63
Gliding Myth,4,1,0.07456533196083207,9.75,39
Raino,4,0,0.07621711469353414,33.25,133
Doni,4,0,0.0745587410563263,55.5,222
Alv Peacepipe,4,1,0.07605482319609706,6.75,27
O'grady,4,0,0.07442549186846573,2.5,10
Hurja-Ero,4,0,0.07456096027071367,53.25,213
Rhoder Herold,4,0,0.07377118658415706,15.0,60
Boss Boy,4,0,0.07563841371981112,41.5,166
Thechiefofmontana,4,0,0.07511379885225737,28.0,112
Gladiolo,4,0,0.07592205569636165,10.0,40
Myrskyn Tähti,4,0,0.07432394583982377,97.75,391
Singinginthebreeze,4,0,0.07594024963192546,39.25,157
L.of A Prince* (SE),4,0,0.07408757002274688,107.25,429
Jeanbat Du Vivier* (FR),4,0,0.0740724733787127,47.25,189
Briskeby Philip* (NO),4,1,0.07615701820209068,5.0,20
Arbok,4,0,0.07424995050711254,54.75,219
Big Challenger,4,0,0.07526463456587647,50.75,203
Armbro Embellish,4,0,0.07608562146820867,5.0,20
Jonkkari,4,0,0.07608383579956195,38.25,153
El Pat* (CA),4,0,0.07598703601695155,36.5,146
Danish Delight,4,0,0.07608202691359715,71.75,287
Villevalle Victory,4,0,0.07438692175415736,23.5,94
Monster Drive,4,0,0.07654352435507243,26.5,106
Dexter Frontline* (SE),4,0,0.07566556861458919,33.0,132
Västerbo Prestige,4,2,0.07603314570111312,3.5,14
Catherines Cavalli,4,2,0.07492496608886583,6.25,25
Archipelago,4,0,0.0760605300828103,47.5,190
Garciaparra,4,0,0.07413383108348089,66.0,264
The Lindy Reserve,4,0,0.07592333349040335,35.0,140
Quite Easy,4,0,0.07638304546725533,8.0,32
Lysing,4,0,0.07569256727365252,35.5,142
Armed Hall* (EE),4,1,0.07583847439002385,16.0,64
Luomus Jr,4,0,0.07569494458553182,147.5,590
Vokkerin Lupaus,4,0,0.07411558402041436,14.5,58
Onyx Jiel* (FR),4,0,0.07402477859168774,84.75,339
Vanishing Point,4,0,0.07481919404483231,20.5,82
E L Mikko,4,0,0.07569963188612848,4.0,16
Pulssi,4,0,0.07481668978905501,12.75,51
Tähti-Optio,4,0,0.07602375646564503,14.0,56
Uranus de Tyrole,4,0,0.07637877529999988,61.75,247
Millex,4,0,0.07480645334471742,16.25,65
Wired Pine,4,0,0.07415373619286277,75.5,302
Jasmino Wood,4,0,0.07395061961625833,18.75,75
Panhandle Hall,4,0,0.07606328807942166,67.25,269
Rolex K.,4,0,0.07621002750105346,55.75,223
Village Mystic,4,1,0.07571100553662351,4.75,19
Jokivarren Kunkku,4,0,0.07634531186413702,3.25,13
Southwind Spirit,4,0,0.07606735796523516,24.5,98
Millenium Wood,4,0,0.07479091962266853,107.5,430
Beanie M.M.* (SE),4,0,0.07655800907531798,22.5,90
Marion Mad Money* (US),3,0,0.07609976564910392,20.333333333333332,61
Uxer Lb,3,0,0.07609083889631596,80.0,240
Bokli Eld* (NO),3,0,0.07615820385222755,66.33333333333333,199
King Cane* (SE),3,0,0.07648743760632602,107.33333333333333,322
Sacramento Ås,3,0,0.07390203236793501,31.333333333333332,94
Gallant Baron* (CA),3,0,0.07430070196182197,49.333333333333336,148
Voiveikko,3,0,0.07415088651513965,82.0,246
Booster Winner,3,0,0.07607143610868376,27.0,81
Rite On Track* (SE),3,0,0.0760753004194337,36.0,108
Edgestone Hanover,3,0,0.0739476348298423,104.66666666666667,314
Soir Des Tibur,3,1,0.07634092341876095,29.0,87
Magnetic Line,3,0,0.07598694949989453,23.0,69
Thuli Elden,3,0,0.07615861192274832,61.666666666666664,185
Haugs Gutten,3,0,0.07427292903375632,38.666666666666664,116
Jailhouse Joey,3,0,0.0761107311798364,26.666666666666668,80
Dahir De Prelong* (FR),3,0,0.0742981655128468,21.666666666666668,65
Crown Kemp* (SE),3,0,0.07648357751667986,24.333333333333332,73
Bossi Corner,3,1,0.07433675873236348,8.333333333333334,25
Gros Grain,3,0,0.07611658455207916,60.0,180
Noves Boy,3,0,0.07531324487889159,79.66666666666667,239
E.L.Stewart,3,0,0.07419709541955051,49.333333333333336,148
Joint Venture,3,0,0.07407531825738292,35.333333333333336,106
Ritmo P.D.,3,0,0.07598935978999909,26.0,78
Funny Farm,3,0,0.07588808428430707,30.333333333333332,91
Lex Lodney,3,1,0.07606463151142996,7.666666666666667,23
Kodac,3,0,0.07421880221116255,43.333333333333336,130
David Raymond,3,0,0.0740418977623805,63.666666666666664,191
Ailov,3,0,0.07427024130236763,35.0,105
Uncle Peter,3,0,0.07607895014493156,55.333333333333336,166
Up di Poggio,3,0,0.07457366660956881,6.333333333333333,19
Super Light* (SE),3,0,0.07471768182408751,72.33333333333333,217
Earthquake,3,0,0.07481677096043812,23.0,69
General du Pommeau,3,0,0.07480904531672063,5.666666666666667,17
Kihisee,3,0,0.07658459761293289,5.333333333333333,16
Top Love,3,0,0.0759019228979829,30.666666666666668,92
Tähen Topelius,3,0,0.07658286033266129,10.666666666666666,32
H.G.Balder* (NO),3,0,0.07569112589651435,25.0,75
Vokkerin Meno,3,0,0.07475404928020657,12.666666666666666,38
Eekker,3,0,0.0759441645666678,13.0,39
Attila di Mar* (IT),3,0,0.07590411264161592,99.0,297
Poikapassi,3,0,0.07481161539885506,45.0,135
Manhattan Sassy,3,0,0.07655945997376337,19.0,57
Jetn Lindy* (US),3,1,0.07571329472555723,32.333333333333336,97
Northern Ensign,3,0,0.07569729946524514,17.333333333333332,52
Kiraus,3,0,0.07465942991648711,44.0,132
Lass Drop,3,0,0.07456315724767786,3.6666666666666665,11
No Chip,3,0,0.07597879263628939,49.333333333333336,148
Super Cent* (SE),3,0,0.07649805241269328,39.333333333333336,118
Picture Ås,3,0,0.07591472004875838,35.0,105
Supertoy,3,1,0.07589758609761069,43.666666666666664,131
Gam Faks,3,0,0.07599071489353697,59.666666666666664,179
Jaaritus,3,0,0.07559224113902414,104.66666666666667,314
Le Touquet,3,0,0.07589543896697008,15.0,45
Marco di Jesolo,3,0,0.07590489565982349,6.666666666666667,20
Beaumont Hanover* (US),3,0,0.07443231678873255,76.33333333333333,229
